,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
77,desh1st,,,129,7,1392,889,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
78,MesNursery,"Our nursery in Barnsley provides safe, stimulating day care for babies and toddlers.",Eldon Street North S71 1LQ ,76,29,288,1,"#Diwali is the day of the new moon or Amavasy, which is holy to Hindus &amp; is thought of as the darkest night of the year. Taking place over 5 days (Nov 2-6) the festival sees homes decorated, sweets &amp; gifts shared, people dressing up &amp; lighting their homes with oil lamps &amp; candles https://t.co/wQ0xW5t0jc",['Diwali']
79,TribalC39783625,Two Time Wwe World Heavyweight Champion & Two Time Wwe Universal Champion & One Time IC Champion & One Time US Champion & One Time Wwe Tag Team Champion,Pansacola Florida USA,15,6,40,21,"Who is YOUR WWE Hero &amp; why? 

Get creative, reply using #DiwaliWWEWali, tag 3 #WWE fans, tag @WWEIndia &amp; retweet this #contest tweet for a chance to get authentic WWE merchandise. #Diwali https://t.co/i7eh62aYnC","['DiwaliWWEWali', 'WWE']"
80,Bhavishyasain16,"हिन्दू हु,#sanatani, कवि, राजनीतिक विश्लेषक, भगवा मे लीन
जय श्री राम 🚩🚩🚩🚩🚩
My youtube channel :https://t.co/3BOtvh9FTc…
Instagram: bhavishyasaini2652005",Jharoda mazara burari delhi,169,570,12730,8,"Ahead of #Diwali, the Delhi Police arrested two people from separate places and recovered over 40 kg #firecrackers from them.","['Diwali', 'firecrackers']"
81,deepakJTech,"IT Remote Resources, Short-Long contract, LangTech, ServiceNow, Full-Stack, Java, Support team, quick deployment. Actively Marketing. - Views are my personal.",,35,64,1297,1,"Diwali is the #FestivalOfLights. May the divine light of Diwali spread into your life prosperity and happiness. 

Wishing you all, a very happy and fun filled #Diwali from @Linguasol

#diwali2021 #HappyDiwali #शुभदिपावली https://t.co/D5I1Cjf2FF",['FestivalOfLights']
82,pramoddamahe,"Telecom Engineer, interested in Science/Technology, Religion, Politics, Movie & Music Lover, Followed by @PiyushGoyalOffc",Nagpur(Maharashtra),3124,981,65687,889,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
83,SICKULAR1515,#Bollywood has been always a mystery for how the finance funneled & diverted in/out of the country which directly influence & hijack people minds & behavior...., LEARN ABOUT #Congress GODSE ?,4995,1190,33243,3,"#AnilDeshmukhArrested digest slowly!

#Diwali is coming &amp; lot of food on plates to celebrate!
Happy Diwali in Advance like @Dev_Fadnavis, fire crackers after Diwali...resting well in Diwali to digest &amp; celebration! https://t.co/tYJtLINgZp","['AnilDeshmukhArrested', 'Diwali']"
84,SunitavermaVer2,Sunita verma,"uttar Pradesh, India",92,32,30,25,".@Devoleena_23: I buy gold and silver on Dhanteras every year as it is a ritual 
Read: https://t.co/mzAo5CBjlV
Story by @sugandharawal 
#DevoleenaBhattacharjee #Dhanteras #Diwali #Diwali2021 #devoleena #devo #devotheomggirl #devolians #devosquad #actor #devoleenalovers https://t.co/XL8dd9P247",[]
85,MatrixBabbage,,,408,44,17787,5,"@PolitiCrooks @arunpudur Yes, what stops BJP Government 4m intervene with an ordinance 2 counter Court Judgements on #Diwali Crackers?
It's not how much Hindu population votes for BJP, that is of relevance here but What's the % of Hindus constituting total Population that matters.
https://t.co/JIx8RbSjMa",[]
86,Paurushya,the Indian subcontinent belongs to the Hindus. they must protect it for their future generations. no alternative to bravery.,,1910,330,55839,47,"On the night of choti Deepawali keep a gift near the pillow of your children
Tell them in the morning that Lakshmi Mata came to give their #Diwali gift

Your kids will forget Santa and X-mas forever

#HappyDiwali 🪔 in advance 

RT if this makes u smile 😊",[]
87,baruahrana123,everything is possible if we think and do positively.,"guwahati, assam.",1465,1573,86592,2455,US lawmaker to introduce Bill to make #Diwali Federal Holiday in U.S.,['Diwali']
88,PetrogateOffice,"This academy is an initiative by alumni of ISM, RGIPT, IITs & experts from O&G Industry for the preparation of GATE Examination in Petroleum Engineering","Dehradun, INDIA",8,18,58,0,"This #Diwali illuminate your GATE preparation with Petrogate Academy's Diwali dhamaka, an all-in-one course comprising mock test, video lecture, and many more.
 Book your course now and uplift your preparation.
.
#petrogateacademy #engineering #gatepreparation #gateaspirants https://t.co/SKLUe192JS","['Diwali', 'petrogateacademy', 'engineering', 'gatepreparation', 'gateaspirants']"
89,manisha04115718,,,42,13,778,889,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
90,ChatlodLaxman,,,486,433,56944,1630,"#BreakingNews : Supreme Court has Set Aside Calcutta HC's Total Ban of Firecrackers In West Bengal.

#Diwali","['BreakingNews', 'Diwali']"
91,ItsNiramoy,"ғᴏʀᴇᴠᴇʀ ʀᴅᴊ । ᴍᴇssɪ । ʀᴀᴊɪɴɪᴋᴀɴᴛʜ । ᴍsᴅ । ᴀᴀᴍɪʀ । ʜʀɪᴛʜɪᴋ । ᴀʀɪᴊɪᴛ । PSPK । ᴀᴀ । sᴜsᴀɴᴛʜ s ʀᴀᴊᴘᴜᴛ । sʜʀᴀᴅʜᴀ ᴋ & ᴠɪᴠɪᴀɴ ᴅ'sᴇɴᴀ fαи.
Back Up : @BackupNiramoy","ᴘᴜʀᴜʟɪᴀ, ᴡᴇsᴛ ʙᴇɴɢᴀʟ",90,598,51161,82,"#AlluArjun 's #PushpaTheRise teaser is getting the finishing touches. #Pushpa teaser may explode for #Diwali2021  

#Diwali fireworks will be even bigger! #PushpaRaj will be seen in an intense role!

#BunnyArmy #iconstar #PushpaTheRiseOnDec17","['AlluArjun', 'PushpaTheRise', 'Pushpa', 'Diwali2021']"
92,albelinimmi,,,482,108,12912,2455,US lawmaker to introduce Bill to make #Diwali Federal Holiday in U.S.,['Diwali']
93,cyclesoisai,"nothing much, just here to rant. he/him",,681,604,13322,36,"Monday: Schools reopen in #TamilNadu

Tuesday: Rain holiday announced

Wednesday: Most likely rain holiday

Thursday: #Diwali holiday

Friday: #Diwali holiday

What a fun time for school.",['TamilNadu']
94,Abhishe87860842,,,752,187,46383,889,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
95,emcgowanphoenix,"23, account manager, ballroom dancer, cat mom, bookworm. (Usually) split my time across the Pennines. All views my own.","Oldham, England",771,199,1308,6,"Join us this Saturday for #Diwali 🪔 celebrations in the courtyard – live music and dance performances, food stalls, meditation sessions as well as family crafts including lantern making.

Find out more 👇
https://t.co/AuIeT2EgQ2",['Diwali']
96,yasheshbhavsar,,"Bharat, Hindustan, India",96,38,15569,345,"Gurugram, Haryana

Secular BJP govt deployed 500 cops to protect crowds of namajis so they could pray without any disturbance 

&amp;

Same BJP govt imposed sec 144 in gururgram for hindu festival #Diwali https://t.co/8OJM1l85EC",[]
97,dip_goa,"Official Handle of Department of Information & Publicity, Govt of Goa",Panaji Goa,79,4210,2475,0,"Dy. CM, Shri.@BabuAjgaonkar at the opening Ceremony of #Diwali Family Exhibition at Panchayat Hall, Dhargal. ZP Member, Sarpanch &amp; Members of Village Panchayat, Dhargal were present. https://t.co/xFaeaxm3jW",['Diwali']
98,_BeingPa1,जननी जन्मभूमिश्च स्वर्गादपि गरीयसी ||,9.81,1126,58,10217,254,Section 144 imposed in Noida ahead of #Diwali,['Diwali']
99,meenakshisunil,"MREC/MNIT, VSP, DFS, Equity investment & trading. ""नमस्ते सदा वत्सले मातृभूमें"" 🚩🙏",,1281,396,5252,889,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
